pars1,popsize,population,location
0,2232.13,N0,Wall
0,1.67982e-322,N1,Wall
0,2232.13,N0,Lumen
0,1.67982e-322,N1,Lumen
1,2232.13,N0,Wall
1,1.67982e-322,N1,Wall
1,2132.85,N0,Lumen
1,2.86558e-322,N1,Lumen
2,2232.13,N0,Wall
2,1.67982e-322,N1,Wall
2,2035,N0,Lumen
2,6.42285e-322,N1,Lumen
3,2232.13,N0,Wall
3,1.11991e-106,N1,Wall
3,1939.16,N0,Lumen
3,2.64858e-104,N1,Lumen
4,2226.4,N0,Wall
4,6.40098,N1,Wall
4,410.705,N0,Lumen
4,1664.42,N1,Lumen
5,2225.5,N0,Wall
5,7.40763,N1,Wall
5,166.927,N0,Lumen
5,1926.21,N1,Lumen
6,2225.29,N0,Wall
6,7.64003,N1,Wall
6,104.404,N0,Lumen
6,1986.64,N1,Lumen
7,2225.22,N0,Wall
7,7.72641,N1,Wall
7,76.3014,N0,Lumen
7,2009.11,N1,Lumen
8,2225.18,N0,Wall
8,7.7618,N1,Wall
8,60.434,N0,Lumen
8,2018.31,N1,Lumen
9,2225.17,N0,Wall
9,7.7741,N1,Wall
9,50.2939,N0,Lumen
9,2021.51,N1,Lumen
10,2225.17,N0,Wall
10,7.77448,N1,Wall
10,43.2919,N0,Lumen
10,2021.61,N1,Lumen
11,2225.18,N0,Wall
11,7.76828,N1,Wall
11,38.1951,N0,Lumen
11,2020,N1,Lumen
12,2225.19,N0,Wall
12,7.75838,N1,Wall
12,34.3414,N0,Lumen
12,2017.42,N1,Lumen
13,2225.2,N0,Wall
13,7.74644,N1,Wall
13,31.3433,N0,Lumen
13,2014.32,N1,Lumen
14,2225.21,N0,Wall
14,7.73353,N1,Wall
14,28.9587,N0,Lumen
14,2010.96,N1,Lumen
15,2225.22,N0,Wall
15,7.72028,N1,Wall
15,27.0282,N0,Lumen
15,2007.51,N1,Lumen
16,2225.23,N0,Wall
16,7.70712,N1,Wall
16,25.4426,N0,Lumen
16,2004.09,N1,Lumen
17,2225.24,N0,Wall
17,7.69434,N1,Wall
17,24.1242,N0,Lumen
17,2000.77,N1,Lumen
18,2225.25,N0,Wall
18,7.68209,N1,Wall
18,23.0165,N0,Lumen
18,1997.58,N1,Lumen
19,2225.27,N0,Wall
19,7.67048,N1,Wall
19,22.0773,N0,Lumen
19,1994.56,N1,Lumen
20,2225.28,N0,Wall
20,7.65955,N1,Wall
20,21.2744,N0,Lumen
20,1991.72,N1,Lumen
21,2225.28,N0,Wall
21,7.6493,N1,Wall
21,20.5828,N0,Lumen
21,1989.06,N1,Lumen
