pars,popsize,population,DXDT
0,1.59213e+07,N0,-1.8758e-07
0,0,N1,-9.52982e-07
1,1.58439e+07,N0,-1.59338e-07
1,0,N1,-9.70945e-07
2,1.57728e+07,N0,-1.18911e-07
2,0,N1,-9.985e-07
3,1.57085e+07,N0,-1.21327e-07
3,0,N1,-9.89583e-07
4,1.56508e+07,N0,-1.16401e-07
4,0,N1,-9.88087e-07
5,1.55995e+07,N0,-1.21196e-07
5,0,N1,-9.77357e-07
6,1.55543e+07,N0,-1.23124e-07
6,0,N1,-9.79184e-07
7,1.55147e+07,N0,-1.29759e-07
7,0,N1,-9.61788e-07
8,1.54799e+07,N0,-1.08892e-07
8,0,N1,-9.79659e-07
9,1.54496e+07,N0,-9.31759e-08
9,0,N1,-9.90661e-07
10,1.5423e+07,N0,-9.01055e-08
10,0,N1,-9.97542e-07
11,1.53996e+07,N0,-9.04838e-08
11,0,N1,-9.88327e-07
12,1.53791e+07,N0,-9.50677e-08
12,0,N1,-9.87202e-07
13,1.5361e+07,N0,-1.05894e-07
13,0,N1,-9.74476e-07
14,1.53449e+07,N0,-8.39209e-08
14,0,N1,-9.94578e-07
15,1.53306e+07,N0,-1.00597e-07
15,0,N1,-9.77443e-07
16,1.53179e+07,N0,-9.08913e-08
16,0,N1,-9.88184e-07
17,1.53064e+07,N0,-8.7326e-08
17,0,N1,-9.86983e-07
18,1.52961e+07,N0,-1.04992e-07
18,0,N1,-9.75055e-07
19,1.52867e+07,N0,-9.3336e-08
19,0,N1,-9.81193e-07
20,1.52782e+07,N0,-8.77626e-08
20,0,N1,-9.87255e-07
21,1.52705e+07,N0,-8.52742e-08
21,0,N1,-9.8807e-07
22,1.52634e+07,N0,-8.75589e-08
22,0,N1,-9.87876e-07
23,1.52569e+07,N0,-8.43283e-08
23,0,N1,-9.87057e-07
24,1.52509e+07,N0,-8.16217e-08
24,0,N1,-9.87454e-07
25,1.52454e+07,N0,-8.28295e-08
25,0,N1,-9.86095e-07
26,1.52403e+07,N0,-8.30187e-08
26,0,N1,-9.8253e-07
27,1.52356e+07,N0,-8.67149e-08
27,0,N1,-9.8102e-07
28,1.52312e+07,N0,-8.59145e-08
28,0,N1,-9.86143e-07
29,1.52271e+07,N0,-8.48231e-08
29,0,N1,-9.80757e-07
30,1.52233e+07,N0,-6.83503e-08
30,0,N1,-9.97502e-07
31,1.52197e+07,N0,-7.56991e-08
31,0,N1,-9.97166e-07
32,1.52163e+07,N0,-8.59145e-08
32,0,N1,-9.87935e-07
33,1.52132e+07,N0,-8.45466e-08
33,0,N1,-9.80639e-07
34,1.52102e+07,N0,-8.2975e-08
34,0,N1,-9.80278e-07
35,1.52074e+07,N0,-7.9046e-08
35,0,N1,-9.86843e-07
36,1.52047e+07,N0,-6.88306e-08
36,0,N1,-9.98306e-07
37,1.52022e+07,N0,-7.44476e-08
37,0,N1,-9.9677e-07
38,1.51999e+07,N0,-7.48259e-08
38,0,N1,-9.97782e-07
39,1.51976e+07,N0,-8.53615e-08
39,0,N1,-9.85039e-07
40,1.51955e+07,N0,-8.09086e-08
40,0,N1,-9.89059e-07
41,1.51934e+07,N0,-7.16536e-08
41,0,N1,-9.98917e-07
42,1.51915e+07,N0,-6.21949e-08
42,0,N1,-9.98449e-07
43,1.51897e+07,N0,-7.03731e-08
43,0,N1,-9.99994e-07
44,1.51879e+07,N0,-7.8202e-08
44,0,N1,-9.93488e-07
45,1.51862e+07,N0,-8.63802e-08
45,0,N1,-9.87824e-07
46,1.51846e+07,N0,-6.90052e-08
46,0,N1,-9.99432e-07
47,1.51831e+07,N0,-7.6805e-08
47,0,N1,-9.94268e-07
48,1.51816e+07,N0,-6.34755e-08
48,0,N1,-9.98802e-07
49,1.51802e+07,N0,-8.58563e-08
49,0,N1,-9.87937e-07
50,1.51789e+07,N0,-7.11298e-08
50,0,N1,-9.97904e-07
51,1.51776e+07,N0,-8.58854e-08
51,0,N1,-9.85823e-07
52,1.51763e+07,N0,-7.17409e-08
52,0,N1,-9.95316e-07
53,1.51751e+07,N0,-8.41974e-08
53,0,N1,-9.8283e-07
54,1.5174e+07,N0,-8.0443e-08
54,0,N1,-9.8881e-07
55,1.51729e+07,N0,-7.78236e-08
55,0,N1,-9.88985e-07
56,1.51718e+07,N0,-8.28877e-08
56,0,N1,-9.83108e-07
57,1.51707e+07,N0,-7.26432e-08
57,0,N1,-9.89135e-07
58,1.51698e+07,N0,-6.89761e-08
58,0,N1,-9.97246e-07
59,1.51688e+07,N0,-7.41566e-08
59,0,N1,-9.93086e-07
60,1.51679e+07,N0,-7.48842e-08
60,0,N1,-9.89735e-07
61,1.5167e+07,N0,-6.92671e-08
61,0,N1,-9.92087e-07
62,1.51661e+07,N0,-7.82602e-08
62,0,N1,-9.84292e-07
