pars,popsize,population,location
1e-10,8.6268e+06,N0,Wall
1e-10,0,N1,Wall
1e-10,4.28e+07,N0,Lumen
1e-10,0,N1,Lumen
2e-10,8.6268e+06,N0,Wall
2e-10,0,N1,Wall
2e-10,4.28e+07,N0,Lumen
2e-10,0,N1,Lumen
4e-10,8.6268e+06,N0,Wall
4e-10,0,N1,Wall
4e-10,4.28e+07,N0,Lumen
4e-10,0,N1,Lumen
8e-10,8.6268e+06,N0,Wall
8e-10,0,N1,Wall
8e-10,4.28e+07,N0,Lumen
8e-10,0,N1,Lumen
1.6e-09,8.6268e+06,N0,Wall
1.6e-09,0,N1,Wall
1.6e-09,4.28e+07,N0,Lumen
1.6e-09,0,N1,Lumen
3.2e-09,8.6268e+06,N0,Wall
3.2e-09,0,N1,Wall
3.2e-09,4.28e+07,N0,Lumen
3.2e-09,0,N1,Lumen
6.4e-09,8.62681e+06,N0,Wall
6.4e-09,0,N1,Wall
6.4e-09,4.28e+07,N0,Lumen
6.4e-09,0,N1,Lumen
1.28e-08,8.62681e+06,N0,Wall
1.28e-08,0,N1,Wall
1.28e-08,4.28e+07,N0,Lumen
1.28e-08,0,N1,Lumen
2.56e-08,8.62681e+06,N0,Wall
2.56e-08,0,N1,Wall
2.56e-08,4.28e+07,N0,Lumen
2.56e-08,0,N1,Lumen
5.12e-08,8.62682e+06,N0,Wall
5.12e-08,0,N1,Wall
5.12e-08,4.28e+07,N0,Lumen
5.12e-08,0,N1,Lumen
1.024e-07,8.62683e+06,N0,Wall
1.024e-07,0,N1,Wall
1.024e-07,4.28e+07,N0,Lumen
1.024e-07,0,N1,Lumen
2.048e-07,8.62686e+06,N0,Wall
2.048e-07,0,N1,Wall
2.048e-07,4.28e+07,N0,Lumen
2.048e-07,0,N1,Lumen
4.096e-07,8.62692e+06,N0,Wall
4.096e-07,0,N1,Wall
4.096e-07,4.27999e+07,N0,Lumen
4.096e-07,0,N1,Lumen
8.192e-07,8.62703e+06,N0,Wall
8.192e-07,0,N1,Wall
8.192e-07,4.27999e+07,N0,Lumen
8.192e-07,0,N1,Lumen
1.6384e-06,8.62726e+06,N0,Wall
1.6384e-06,0,N1,Wall
1.6384e-06,4.27998e+07,N0,Lumen
1.6384e-06,0,N1,Lumen
3.2768e-06,8.62771e+06,N0,Wall
3.2768e-06,0,N1,Wall
3.2768e-06,4.27995e+07,N0,Lumen
3.2768e-06,0,N1,Lumen
6.5536e-06,8.62863e+06,N0,Wall
6.5536e-06,0,N1,Wall
6.5536e-06,4.2799e+07,N0,Lumen
6.5536e-06,0,N1,Lumen
1.31072e-05,8.63045e+06,N0,Wall
1.31072e-05,0,N1,Wall
1.31072e-05,4.2798e+07,N0,Lumen
1.31072e-05,0,N1,Lumen
2.62144e-05,8.63408e+06,N0,Wall
2.62144e-05,0,N1,Wall
2.62144e-05,4.2796e+07,N0,Lumen
2.62144e-05,0,N1,Lumen
5.24288e-05,8.64135e+06,N0,Wall
5.24288e-05,0,N1,Wall
5.24288e-05,4.2792e+07,N0,Lumen
5.24288e-05,0,N1,Lumen
0.000104858,8.65586e+06,N0,Wall
0.000104858,0,N1,Wall
0.000104858,4.27841e+07,N0,Lumen
0.000104858,0,N1,Lumen
0.000209715,8.68475e+06,N0,Wall
0.000209715,0,N1,Wall
0.000209715,4.27681e+07,N0,Lumen
0.000209715,0,N1,Lumen
0.00041943,8.74201e+06,N0,Wall
0.00041943,0,N1,Wall
0.00041943,4.27362e+07,N0,Lumen
0.00041943,0,N1,Lumen
0.000838861,8.85461e+06,N0,Wall
0.000838861,0,N1,Wall
0.000838861,4.26725e+07,N0,Lumen
0.000838861,0,N1,Lumen
0.00167772,9.07268e+06,N0,Wall
0.00167772,0,N1,Wall
0.00167772,4.25453e+07,N0,Lumen
0.00167772,0,N1,Lumen
0.00335544,9.48425e+06,N0,Wall
0.00335544,0,N1,Wall
0.00335544,4.22911e+07,N0,Lumen
0.00335544,216.563,N1,Lumen
0.00671089,9.84249e+06,N0,Wall
0.00671089,0,N1,Wall
0.00671089,3.08024e+07,N0,Lumen
0.00671089,1.05167e+07,N1,Lumen
0.0134218,9.4019e+06,N0,Wall
0.0134218,0,N1,Wall
0.0134218,9.49594e+06,N0,Lumen
0.0134218,3.03326e+07,N1,Lumen
0.0268435,9.03188e+06,N0,Wall
0.0268435,1.10551,N1,Wall
0.0268435,2.40755e+06,N0,Lumen
0.0268435,3.6933e+07,N1,Lumen
0.0536871,8.93697e+06,N0,Wall
0.0536871,1.19737,N1,Wall
0.0536871,914306,N0,Lumen
0.0536871,3.83233e+07,N1,Lumen
